lottery,position,year,asOf,profit,baseProfit,roi,days,dominant,dominance,switches,maxDD,unobservedDays
"หวยลาวสตาร์ VIP","สองล่าง","2024","2024-12-31","1138","2038","6.335597372230264","365","Top+Bottom","50","6","-1040","1"
"หวยลาวสตาร์ VIP","สองล่าง","2025","2025-12-31","-1120","-520","-5.737704918032787","365","Mid","41.66666666666667","8","-1302","0"
"หวยลาวสตาร์ VIP","สองล่าง","2026","2026-09-11","-42","558","-0.3056323679231553","254","Top+Mid","62.5","4","-955","0"
"หวยลาวสบายดี","สองบน","2025","2025-12-31","480","1480","6.557377049180328","122","Top+Mid","100","0","-720","0"
"หวยลาวสบายดี","สองบน","2026","2026-09-12","-2034","-234","-14.59738768479977","255","Top+Mid","37.5","6","-2194","0"
"หวยลาวสบายดี","สองล่าง","2025","2025-12-31","-430","1470","-5.94744121715076","122","Top+Mid","75","1","-770","0"
"หวยลาวสบายดี","สองล่าง","2026","2026-09-12","-900","900","-6.338028169014084","255","Top","62.5","4","-1272","0"
"หวยลาวสันติภาพ","สองบน","2024","2024-12-31","188","188","3.3499643620812543","122","Top","75","1","-788","0"
"หวยลาวสันติภาพ","สองบน","2025","2025-12-31","-18","1782","-0.10045764036164749","365","Top+Mid","66.66666666666666","1","-610","0"
"หวยลาวสันติภาพ","สองบน","2026","2026-09-12","-420","-320","-2.8925619834710745","255","Top","50","6","-888","0"
"หวยลาวสันติภาพ","สองล่าง","2024","2024-12-31","-202","-102","-3.5426166257453526","122","Top+Mid","25","3","-428","0"
"หวยลาวสันติภาพ","สองล่าง","2025","2025-12-31","465","1865","2.2425850012056907","365","Top+Bottom","25","8","-1383","0"
"หวยลาวสันติภาพ","สองล่าง","2026","2026-09-12","-159","41","-1.099661110726883","255","Top","37.5","6","-667","0"
"หวยลาวสามัคคี","สองบน","2024","2024-12-31","-207","-807","-0.9807172975790023","366","Top+Bottom","50","5","-690","0"
"หวยลาวสามัคคี","สองบน","2025","2025-12-31","-58","-1158","-0.2950452741886255","365","Mid","58.333333333333336","4","-970","0"
"หวยลาวสามัคคี","สองบน","2026","2026-09-12","22","122","0.156272197755363","255","Top+Mid","50","3","-1130","0"
"หวยลาวสามัคคี","สองล่าง","2024","2024-12-31","-1200","-900","-5.970149253731343","366","Top","41.66666666666667","6","-1447","0"
"หวยลาวสามัคคี","สองล่าง","2025","2025-12-31","210","510","1.1738401341531581","365","Top","33.33333333333333","5","-757","0"
"หวยลาวสามัคคี","สองล่าง","2026","2026-09-12","-714","386","-5.322797077680036","255","Top+Mid","50","2","-1251","0"
"หวยลาวสามัคคี VIP","สองบน","2024","2024-12-31","374","-226","1.9056353816366045","366","Top","58.333333333333336","4","-830","0"
"หวยลาวสามัคคี VIP","สองบน","2025","2025-12-31","1029","429","5.257779367431404","365","Top","50","5","-998","0"
"หวยลาวสามัคคี VIP","สองบน","2026","2026-09-11","-672","528","-5.3452115812917596","254","Mid","50","3","-1412","0"
"หวยลาวสามัคคี VIP","สองล่าง","2024","2024-12-31","1352","-548","7.060789638604555","366","Bottom","41.66666666666667","7","-382","0"
"หวยลาวสามัคคี VIP","สองล่าง","2025","2025-12-31","75","575","0.3963011889035667","365","Mid","75","4","-1199","0"
"หวยลาวสามัคคี VIP","สองล่าง","2026","2026-09-11","-267","333","-1.953610887539328","254","Top+Bottom","25","5","-979","0"
"หวยลาวอาเซียน","สองบน","2024","2024-12-31","-622","-722","-3.2191284546113237","365","Top","41.66666666666667","5","-998","1"
"หวยลาวอาเซียน","สองบน","2025","2025-12-31","-1147","-1347","-6.02194571323568","365","Top+Bottom","33.33333333333333","4","-1439","0"
"หวยลาวอาเซียน","สองบน","2026","2026-09-11","491","191","3.634613961062995","253","Top+Mid","37.5","6","-472","1"
"หวยลาวอาเซียน","สองล่าง","2024","2024-12-31","-985","-1085","-5.328644847173384","365","Top+Mid","25","7","-1976","1"
"หวยลาวอาเซียน","สองล่าง","2025","2025-12-31","634","134","3.6719564461948337","365","Bottom","33.33333333333333","6","-796","0"
"หวยลาวอาเซียน","สองล่าง","2026","2026-09-11","638","-762","4.847287646254369","253","Bottom","50","3","-548","1"
"หวยลาวไอยรา","สองบน","2025","2025-12-31","-694","-94","-7.982516678168852","153","Top","60","2","-879","0"
"หวยลาวไอยรา","สองบน","2026","2026-09-11","259","559","1.8848700967906264","254","Top+Mid","37.5","4","-788","0"
"หวยลาวไอยรา","สองล่าง","2025","2025-12-31","508","1508","6.1263868789194404","153","Top","60","2","-380","0"
"หวยลาวไอยรา","สองล่าง","2026","2026-09-11","-901","399","-6.528512426635751","254","Top","50","7","-1178","0"
"หวยเวียงจันทน์ VISA","สองบน","2025","2025-12-31","661","561","18.67759254026561","61","Mid+Bottom","100","0","-150","4"
"หวยเวียงจันทน์ VISA","สองบน","2026","2026-09-12","132","-368","0.9801009801009801","255","Mid+Bottom","50","3","-893","0"
"หวยเวียงจันทน์ VISA","สองล่าง","2025","2025-12-31","-330","470","-9.90990990990991","61","Top+Mid","50","1","-561","4"
"หวยเวียงจันทน์ VISA","สองล่าง","2026","2026-09-12","948","-452","7.100059916117435","255","Top","50","2","-484","0"
